"filename", "language", "Koka", "comment", "blank", "total"
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/attributes.kk", "Koka", 548, 55, 64, 667
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/backports.kk", "Koka", 21, 5, 7, 33
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/block.kk", "Koka", 474, 79, 110, 663
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/codeAlign.kk", "Koka", 180, 18, 35, 233
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/common.kk", "Koka", 412, 70, 97, 579
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/compat.kk", "Koka", 358, 90, 97, 545
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/cssFormatter.kk", "Koka", 412, 26, 47, 485
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/definitions.kk", "Koka", 665, 85, 98, 848
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/driver.kk", "Koka", 172, 22, 34, 228
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/entity.kk", "Koka", 522, 24, 33, 579
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/expression.kk", "Koka", 325, 27, 62, 414
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/formatBlock.kk", "Koka", 346, 85, 69, 500
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/formatInline.kk", "Koka", 571, 80, 151, 802
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/hilite.kk", "Koka", 55, 16, 15, 86
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/includes.kk", "Koka", 259, 31, 33, 323
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/inline.kk", "Koka", 172, 35, 55, 262
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/latexFormatter.kk", "Koka", 967, 68, 162, 1197
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/madoko.kk", "Koka", 231, 110, 50, 391
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/main.kk", "Koka", 36, 42, 5, 83
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/metadata.kk", "Koka", 244, 45, 37, 326
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/options.kk", "Koka", 181, 13, 33, 227
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/optionsMeta.kk", "Koka", 66, 8, 12, 86
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/storage.kk", "Koka", 243, 46, 66, 355
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/stringcompat.kk", "Koka", 6, 7, 3, 16
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/texCommon.kk", "Koka", 53, 9, 17, 79
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/texParser.kk", "Koka", 180, 33, 55, 268
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/texParserBase.kk", "Koka", 165, 29, 46, 240
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/texParserItems.kk", "Koka", 797, 47, 226, 1070
"/home/marc/MA-Medieninformatik/Masterarbeit/madoko-fork-anal/src/version.kk", "Koka", 2, 9, 2, 13
"Total", "-", 8663, 1214, 1721, 11598